name,artist,release_date,genres,popularity
Where My Girls At,702,1999,"['girl group','hip pop','neo soul','new jack swing','r&b','urban contemporary']",65
Zenith,Denzel Curry,2016,"['dark trap','drill','hip hop','miami hip hop','rap','underground hip hop']",55
Send For Me,Atlantic Starr,1986,"['disco','funk','motown','new jack swing','post-disco','quiet storm','soul','urban contemporary']",46
Grand Theft Autumn / Where Is Your Boy,Fall Out Boy,2003,"['emo','modern rock','pop punk']",62
Super Freak,Rick James,1981,"['disco','funk','motown','post-disco','quiet storm','soul','synth funk']",70
Sigues Preguntando,Alex Rose,2018,"['latin','reggaeton','reggaeton flow','trap latino']",66
For the Good Times,Al Green,1972,"['classic soul','funk','memphis soul','quiet storm','soul','soul blues','southern soul']",49
Sabor A Mi,Kenny G,2008,"['smooth jazz','smooth saxophone']",43
Six Feet,Strung Out,1996,"['melodic hardcore','pop punk','punk','ska punk','skate punk']",20
W.A.N.T.S,Global Dan,2019,"['emo rap','melodic rap','sad rap','underground hip hop','vapor trap']",59
I Aint Blue - Remastered,Bonnie Raitt,2016,"['classic rock','country rock','electric blues','folk','folk rock','lilith','mellow gold','pop rock','rock','roots rock','singer-songwriter','soft rock']",29
Shake It Out,Florence & The Machine,2011,"['uk alternative pop', 'pop', 'baroque pop']",65
