,name,artist,release_date,genres
1228,Byegone,Volcano Choir,2013,"['eau claire indie', 'indie folk', 'wisconsin indie']"
1229,Eggo in the Snow,Kyle Dixon & Michael Stein,2017,"['horror synth', 'soundtrack']"
1230,The Game of Love,Daft Punk,2013,"['electro', 'filter house']"
1231,Waiting on You,Otis Junior,2018,['neo r&b']
1232,Numbers,The Cab,2014,"['modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-teen pop', 'vegas indie', 'viral pop']"
1233,Could This Be Love,The Wanted,2013,"['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']"
1234,Bass Ackwards,Tech N9ne,2015,"['hip hop', 'kansas city hip hop', 'pop rap', 'rap']"
1235,Sugar on the Bone,Rival Sons,2019,"['alternative roots rock', 'modern alternative rock', 'modern blues rock', 'modern hard rock', 'modern rock', 'rock']"
1236,Handyman,AWOLNATION,2018,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']"
1237,Tell Your Friends,The Weeknd,2015,"['canadian contemporary r&b', 'canadian pop', 'pop']"
1238,Forever Aint Enough,J. Holiday,2009,"['bassline', 'hip pop', 'new jack swing', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
1239,Blessings,Chance the Rapper,2016,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']"
1240,Good Girls Bad Guys,Falling In Reverse,2011,"['metalcore', 'pop punk', 'rap metal']"
1241,Time,Rexx Life Raj,2018,"['cali rap', 'canadian hip hop', 'deep underground hip hop', 'trap soul', 'underground hip hop']"
1242,A Fistful of Dollars (From A Fistful of Dollars) - Prima,Ennio Morricone,2018,"['classic soundtrack', 'italian soundtrack', 'soundtrack', 'vintage italian soundtrack']"
1243,Hamrer Hippyer,Heilung,2018,"['dark folk', 'medieval folk', 'rune folk', 'viking folk']"
1244,"Ballad of Distances, Pt. 1",Stars Of The Lid,2001,"['ambient', 'compositional ambient', 'drift', 'drone', 'fourth world', 'freak folk', 'post-rock']"
1245,Ex-Factor,Ms. Lauryn Hill,1998,"['conscious hip hop', 'dance pop', 'hip pop', 'neo soul', 'new jersey rap', 'r&b', 'urban contemporary']"
1246,God Only Knows,John Prine,2018,"['alternative country', 'country rock', 'folk', 'folk rock', 'indie folk', 'mellow gold', 'new americana', 'roots rock', 'singer-songwriter', 'traditional folk']"
1247,The Wire,HAIM,2013,"['art pop', 'metropopolis', 'pop rock', 'rock']"
1248,This Town Still Talks About You,Natalie Hemby,2017,['country pop']
1249,Journey Into the Star Cluster,Kevin Kiner,2016,"['scorecore', 'soundtrack', 'video game music']"
1250,Kiss And Tell,G. Love & Special Sauce,2002,"['jam band', 'pop rock', 'reggae rock']"
1251,Sirens,Pearl Jam,2013,"['alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock']"
1252,Dead Dreams,Sarcastic Sounds,2018,"['lo-fi beats', 'lo-fi chill']"
1253,Giselle: Act II: Scene des Wilis,Adolphe Adam,1996,"['early romantic era', 'french opera', 'french romanticism']"
1254,If,Red Hot Chili Peppers,2006,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
1255,God Knows...,Shoko Nakagawa,2012,"['anime', 'anime rock', 'anime score', 'j-pop', 'j-poprock', 'otacore']"
1256,Righteous Man,Slightly Stoopid,2005,"['reggae fusion', 'reggae rock']"
1257,Don Pasquale / Act 2: Povero Ernesto! Cercherò lontana terra,Gaetano Donizetti,2003,"['classical tenor', 'opera']"
1258,slow down my thoughts,Zachary Knowles,2018,"['bedroom soul', 'chill pop', 'indie cafe pop']"
1259,Ova Dweet,Popcaan,2016,"['dancehall', 'reggae fusion']"
1260,Love Galore (feat. Travis Scott),SZA,2017,"['pop', 'pop rap', 'rap']"
1261,Too Fast,Sonder,2016,"['alternative r&b', 'trap soul']"
1262,Blood Bank,Bon Iver,2009,"['eau claire indie', 'indie folk', 'melancholia']"
1263,Ojos Del Sol,Y La Bamba,2016,"['latinx alternative', 'portland indie']"
1264,The Kids Dont Wanna Come Home,Declan McKenna,2017,"['indie pop', 'modern alternative rock', 'modern rock', 'rock']"
1265,Carolina Eyes,Scotty McCreery,2013,"['contemporary country', 'country', 'country road', 'modern country rock']"
1266,Waiting Room,Mansionair,2019,"['aussietronica', 'australian indie', 'electropop', 'indietronica', 'modern rock', 'vapor soul']"
1267,Lonely Richard,Amen Dunes,2014,"['art pop', 'chamber psych', 'freak folk', 'garage psych', 'indie rock', 'modern psychedelic folk', 'neo-psychedelic', 'popgaze']"
1268,Carmen Sandiego,Grizfolk,2019,"['hopebeat', 'indie pop', 'indie poptimism', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler', 'swedish alternative rock']"
1269,Strong,London Grammar,2013,"['metropopolis', 'nottingham indie']"
1270,Telephone Calls,A$AP Mob,2016,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
1271,Cali Love,Tribal Theory,2014,"['jawaiian', 'reggae rock', 'west coast reggae']"
1272,Snoopy,Chantal Goya,2008,"['french movie tunes', 'ye ye']"
1273,Tennessee,Johnny Cash,2014,"['arkansas country', 'outlaw country']"
1274,Told You So,Miguel,2017,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
1275,Still Standing,Israel & New Breed,2005,"['gospel', 'naija worship', 'world worship']"
1276,Antes de Lamentar (feat. Almighty),iZaak,2018,['reggaeton flow']
1277,2nd Time Around,Sammie,2019,"['dance pop', 'hip pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']"
1278,M.A.Y. in The Backyard,Ryuichi Sakamoto,1996,"['anime score', 'compositional ambient', 'japanese classical', 'japanese soundtrack']"
1279,Pledging my Love,John Holt,2015,"['dub', 'lovers rock', 'reggae', 'rock steady', 'roots reggae', 'ska']"
1280,Oye Como Va,Santana,1970,"['blues rock', 'classic rock', 'mexican classic rock', 'rock']"
1281,"Any Time, Any Place",Janet Jackson,1993,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
1282,Book of Bad Decisions,Clutch,2018,"['alternative metal', 'alternative rock', 'funk metal', 'hard rock', 'rock', 'stoner metal', 'stoner rock']"
1283,"Build It Up, Tear It Down",Fatboy Slim,1998,"['big beat', 'disco house']"
1284,We Don’t Need You,Against All Authority,1998,"['modern ska punk', 'punk', 'ska', 'ska punk', 'skate punk']"
1285,ニア,夏代孝明,2018,['anime rock']
1286,Walls,Jamie N Commons,2018,"['epicore', 'scorecore', 'soundtrack', 'video game music']"
1287,Hide N Seek,Zomboy,2018,"['brostep', 'dubstep', 'edm', 'electro house', 'electronic trap', 'filthstep', 'glitch']"
1288,Gods Great Dance Floor,Chris Tomlin,2013,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
1289,My Own,Demun Jones,2018,"['country rap', 'redneck']"
1290,Something Tonight,Taylor Acorn,2017,"['contemporary country', 'country pop']"
1291,A Spike Lee Joint (feat. Anthony Flammia),Flatbush Zombies,2016,"['escape room', 'hip hop', 'psychedelic hip hop', 'rap', 'underground hip hop']"
1292,Lento Muevete Feat. Dalmata,Plan B,2002,"['latin', 'perreo', 'reggaeton', 'trap latino', 'tropical']"
1293,News Travels,Thomas Newman,2003,"['compositional ambient', 'scorecore', 'soundtrack']"
1294,Will You Still Love Me? - Remastered Version,Chicago,2005,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']"
1295,City of Gainesville,Less Than Jake,2008,"['modern ska punk', 'pop punk', 'punk', 'ska', 'ska punk', 'skate punk']"
1296,Ol Skoolin,Paul Brown,2007,['smooth jazz']
1297,Howlin For You,The Black Keys,2010,"['alternative rock', 'blues rock', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']"
1298,Over,Honors,2018,['canadian contemporary r&b']
1299,Wochenend Und Sonnenschein (Electro Swing),Wolfgang Lohr,2018,"['electro swing', 'nu jazz']"
1300,Na Na Na,Kevin Roldan,2017,"['latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino', 'tropical']"
1301,Desperado,Rihanna,2016,"['barbadian pop', 'dance pop', 'pop', 'pop dance', 'post-teen pop', 'r&b', 'urban contemporary']"
1302,Let the Mystery Be,Iris DeMent,1993,"['arkansas country', 'country rock', 'folk', 'folk rock', 'lilith', 'singer-songwriter', 'traditional folk']"
1303,Threat Of Rain,Underworld,2019,"['alternative dance', 'big beat', 'electronica']"
1304,Monday to Monday,Roy Woods,2017,"['canadian contemporary r&b', 'canadian hip hop', 'pop rap', 'trap', 'trap soul']"
1305,Himitsu no Je taime,Nanahira,2019,"['denpa-kei', 'kawaii future bass']"
1306,Gear Jammer,George Thorogood & The Destroyers,1985,"['album rock', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'hard rock', 'heartland rock', 'mellow gold', 'rock']"
1307,Dirty Computer (feat. Brian Wilson),Janelle Monáe,2018,"['afrofuturism', 'alternative r&b', 'art pop', 'atl hip hop', 'dance pop', 'electropop', 'escape room', 'neo soul', 'pop', 'pop dance']"
1308,Hotwax,Beck,1996,"['alternative rock', 'anti-folk', 'modern rock', 'permanent wave', 'rock']"
1309,Habits (Stay High) - Hippie Sabotage Remix,Tove Lo,2014,"['dance pop', 'electropop', 'metropopolis', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop', 'tropical house']"
1310,"Nocturnes, Op. 27: No. 2 in D-Flat Major",Frédéric Chopin,2016,"['classical', 'classical performance', 'classical piano', 'polish classical piano']"
1311,PlantedInMyMind.Memo,Charlie Burg,2018,"['ann arbor indie', 'bedroom soul', 'indie cafe pop', 'indie pop']"
1312,Girls Like Me,Will Joseph Cook,2017,"['kent indie', 'modern alternative pop']"
1313,In A Beautiful Place Out In The Country,Boards of Canada,2000,"['ambient', 'electronica', 'intelligent dance music', 'microhouse', 'scottish electronic', 'trip hop']"
1314,Today,Brad Paisley,2017,"['contemporary country', 'country', 'country road']"
1315,Blank Space,Taylor Swift,2014,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
1316,Gone,Stick Figure,2010,['reggae fusion']
1317,Stand,Blues Traveler,1994,"['alternative rock', 'blues rock', 'classic rock', 'jam band', 'mellow gold', 'pop rock', 'rock']"
1318,Sunshine Type,Turnover,2017,"['alternative emo', 'anthem emo', 'emo']"
1319,The Dirt Road,Sawyer Brown,1992,"['country', 'country road', 'country rock']"
1320,The Little Girl (feat. Alison Krauss & Dan Tyminski),John Michael Montgomery,2000,"['contemporary country', 'country', 'country road']"
1321,Earthquake and Fire,Hepcat,2004,"['rock steady', 'ska', 'ska punk', 'ska revival', 'traditional ska']"
1322,Just a Little Heat,The Black Keys,2006,"['alternative rock', 'blues rock', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock']"
1323,True Romance (feat. Jarina De Marco),GTA,2016,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'vapor twitch']"
1324,At The Bottom Of Everything,Bright Eyes,2005,"['indie folk', 'indie pop', 'indie rock', 'melancholia', 'omaha indie', 'stomp and holler']"
1325,Troian Beauty,Nobuo Uematsu,1991,"['anime score', 'chiptune', 'final fantasy', 'japanese classical', 'japanese vgm', 'scorecore', 'video game music']"
1326,Razón - En Vivo,Los Caligaris,2018,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']"
1327,The Night Is Young (feat. Cherub),Big Gigantic,2014,"['edm', 'electropop', 'vapor twitch']"
1328,In Chains,Shamans Harvest,2014,"['alternative metal', 'modern hard rock', 'nu metal', 'post-grunge', 'wrestling']"
1329,Dancing Queen,Juice Music,2013,"['australian childrens music', 'nursery']"
1330,The Immortals,Kings of Leon,2010,"['modern rock', 'rock']"
1331,Alison,Elvis Costello,1977,"['art rock', 'dance rock', 'folk', 'folk rock', 'lilith', 'mellow gold', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'rock', 'roots rock', 'singer-songwriter']"
1332,Maria Sabina,Rodrigo Gallardo,2017,"['ethnotronica', 'latintronica', 'nuevo folklore argentino', 'organic electronic', 'organic house']"
1333,Caballo Viejo,Roberto Torres,1986,"['charanga', 'latin jazz', 'musica tradicional cubana', 'salsa', 'salsa international']"
1334,Did Dat - Bonus Track,Gary Clark Jr.,2019,"['blues rock', 'electric blues', 'funk', 'modern alternative rock', 'modern blues rock', 'rock', 'soul blues', 'texas blues']"
1335,Si Me Das Tu Amor,Carlos Vives,2019,"['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']"
1336,Believe,Hollywood Undead,2012,"['alternative metal', 'nu metal', 'pop punk', 'rap metal', 'rap rock']"
1337,Heretic,Ghastly,2019,"['brostep', 'dubstep', 'edm', 'electro house', 'electronic trap']"
1338,Ovaload,Gentleman,2017,"['cologne hip hop', 'german reggae', 'reggae fusion']"
1339,JUDGEMENT NIGHT,HEALTH,2019,"['alternative dance', 'chillwave', 'grave wave', 'metropopolis', 'noise pop', 'noise rock']"
1340,Halo of Flies,Alice Cooper,1971,"['album rock', 'blues rock', 'classic rock', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']"
1341,Pyro,Kings of Leon,2010,"['modern rock', 'rock']"
1342,Teenager in Love,MC6 A Cappella,2011,['a cappella']
1343,Circus People,Jackie Kashian,2007,"['comedienne', 'new comedy']"
1344,Sit Next to Me - Stereotypes Remix,Foster The People,2018,"['indie pop', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']"
1345,Friends - From The Angry Birds Movie,Blake Shelton,2016,"['contemporary country', 'country', 'country road', 'oklahoma country']"
1346,The Origins of Time,Jóhann Jóhannsson,2014,"['bow pop', 'compositional ambient', 'icelandic classical', 'icelandic experimental', 'nordic soundtrack', 'soundtrack']"
1347,You Woke Up Awesome,George Lopez,2017,"['comedy', 'latino comedy']"
1348,Renegade Music,Papa Roach,2019,"['alternative metal', 'nu metal', 'pop punk', 'rap metal', 'rap rock']"
1349,Quiet Haters,Katt Williams,2007,"['black comedy', 'comedy']"
1350,Levitate,The Palms,2017,"['modern alternative rock', 'modern rock', 'vapor soul']"
1351,Terras Theme (From Final Fantasy VI) - Cello and Piano,Nobuo Uematsu,2018,['vgm instrumental']
1352,Winkum Winkum,Juice Music,2008,"['australian childrens music', 'nursery']"
1353,Illuminate,The Kite String Tangle,2015,"['aussietronica', 'australian indie', 'australian pop', 'brisbane indie', 'vapor soul']"
1354,So Far Away,Dire Straits,1985,"['album rock', 'blues rock', 'classic rock', 'mellow gold', 'rock', 'soft rock']"
1355,Computer Love,Zapp,1993,"['funk', 'gangster rap', 'motown', 'new jack swing', 'p funk', 'popping', 'post-disco', 'quiet storm', 'soul', 'synth funk']"
1356,Swingtown,Steve Miller Band,1978,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
1357,Brooklyn Love,Lolo Zouaï,2018,"['alternative r&b', 'electropop', 'pop']"
1358,Send My Love (To Your New Lover) - Live,Im With Her,2017,"['indie folk', 'new americana', 'progressive bluegrass']"
1359,The General (Live),Dispatch,2013,"['indie folk', 'jam band', 'modern folk rock', 'reggae rock', 'stomp and holler']"
1360,Wolf Like Me,TV On The Radio,2006,"['alternative dance', 'alternative rock', 'brooklyn indie', 'dance-punk', 'indie pop', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'new rave', 'rock']"
1361,Mellow Mood,Jimmy Smith,1996,"['bebop', 'contemporary post-bop', 'cool jazz', 'hammond organ', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz fusion', 'jazz organ', 'soul jazz']"
1362,Liar,LOUDPVCK,2018,"['bass trap', 'electronic trap']"
1363,Vanilla Pines,Towrs,2014,"['indie anthem-folk', 'indie folk', 'indiecoustica', 'new americana', 'stomp and holler']"
1364,El Peor,Carlitos Rossy,2018,"['latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
1365,Wings,Birdy,2013,"['pop', 'pop rock']"
1366,Tulane,$uicideBoy$,2015,"['dark trap', 'new orleans rap', 'underground hip hop']"
1367,Easy Rider,Action Bronson,2015,"['alternative hip hop', 'east coast hip hop', 'escape room', 'hip hop', 'nyc rap', 'queens hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
1368,For You To Be Here,Tom Rosenthal,2015,['british singer-songwriter']
1369,Basta Ya,The Marías,2017,"['bedroom pop', 'indie pop', 'la indie']"
1370,Another Case,Tora,2017,"['alternative r&b', 'indie soul', 'vapor soul']"
1371,STAR,BROCKHAMPTON,2017,"['boy band', 'hip hop', 'rap']"
1372,Surrender,Kut Klose,1995,"['girl group', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']"
1373,My Name Is,Eminem,1999,"['detroit hip hop', 'hip hop', 'rap']"
1374,Rich Woman,Robert Plant,2007,"['album rock', 'art rock', 'blues rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'progressive rock', 'rock', 'roots rock', 'soft rock', 'symphonic rock', 'uk americana']"
1375,Fight,Lars Frederiksen and the Bastards,2004,"['oi', 'punk', 'punk n roll', 'ska punk', 'skate punk']"
1376,Rejected,Aleyce Simmonds,2018,['australian country']
1377,Sexual Acts During Marriage,Rodney Carrington,2014,"['comedy', 'comic']"
1378,White People Gone Crazy,Ralphie May,2009,['comedy']
1379,らいおんハート,Noriyasu Takeuchi,2014,"['japanese guitar', 'japanese instrumental']"
1380,Mangalam (Sean Dinsmores Chillums at Dawn Remix),Prem Joshua,2003,"['indian fusion', 'kirtan', 'world fusion']"
1381,Black Magic Woman,Dennis Brown,2010,"['dub', 'lovers rock', 'reggae', 'rock steady', 'roots reggae', 'ska']"
1382,Fall Apart,KRANE,2016,"['bass trap', 'electronic trap', 'future bass', 'pop edm', 'traprun', 'vapor twitch']"
1383,Atomic Baby,Amos Milburn,1996,"['blues', 'boogie-woogie', 'jump blues', 'piano blues', 'rhythm and blues', 'rock-and-roll']"
1384,In the Woods Somewhere,Hozier,2014,"['irish singer-songwriter', 'modern rock', 'pop']"
1385,Sugar Pie Honey Bunch,Kid Rock,2017,"['alternative metal', 'nu metal', 'rock']"
1386,Wait for Me,Swim Mountain,2017,"['chamber psych', 'indie garage rock', 'indie surf', 'neo-psychedelic']"
1387,Departures N1,Dustin OHalloran,2011,"['compositional ambient', 'neo-classical']"
1388,Dont Lie,Vampire Weekend,2013,"['baroque pop', 'indie pop', 'indie rock', 'modern rock', 'rock']"
1389,Insubordination,Voodoo Glow Skulls,1993,"['chicano punk', 'modern ska punk', 'punk', 'ska', 'ska mexicano', 'ska punk', 'skate punk']"
1390,F W Y B,K CAMP,2017,"['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'rap', 'southern hip hop', 'trap']"
1391,"You, Dear",Eloise,2018,['bedroom soul']
1392,Things arent as they seem,Katt Williams,2006,"['black comedy', 'comedy']"
1393,Feel Good Drag,Anberlin,2008,"['christian alternative rock', 'christian rock', 'dreamo', 'emo', 'pop punk', 'pop rock', 'post-hardcore', 'screamo']"
1394,Suena El Dembow - Remix,Joey Montana,2018,"['latin', 'latin hip hop', 'latin pop', 'panamanian pop', 'pop reggaeton', 'reggaeton', 'trap latino', 'tropical']"
1395,Sicut cervus,Giovanni Pierluigi da Palestrina,2017,"['british choir', 'choral', 'oxford choir']"
1396,Let Me Hold You,Bow Wow,2005,"['dance pop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
1397,How To Fight Loneliness,Wilco,1999,"['alternative country', 'alternative rock', 'chicago indie', 'indie pop', 'indie rock', 'pop rock', 'rock', 'roots rock', 'stomp and holler']"
1398,Criminology,El Michels Affair,2012,"['afrobeat', 'electronica', 'funk', 'indie jazz', 'indie soul', 'instrumental soul', 'soul']"
1399,Got Your Name On It,Jade Eagleson,2018,['canadian contemporary country']
1400,Where Would We Be - Nicky Romero Edit,ROZES,2018,"['electropop', 'indie electropop', 'indie poptimism', 'pop edm']"
1401,Look Up From Your Phone,John Heffron,2018,"['comedy', 'new comedy']"
1402,"If I Go, Im Goin",Gregory Alan Isakov,2009,"['indie folk', 'new americana', 'pop folk', 'stomp and flutter', 'stomp and holler']"
1403,Way Back,Amber Mark,2017,"['alternative r&b', 'electropop', 'indie r&b', 'indie soul', 'neo soul', 'nyc pop']"
1404,Leave Me Alone,Tyler Braden,2018,"['contemporary country', 'country pop']"
1405,Her Eyes Were Green,Hans Zimmer,2017,"['german soundtrack', 'soundtrack']"
1406,Its over Now,112,2001,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
1407,Jūsho Futei Mushoku Tei Shūnyū,Haruomi Hosono,2019,"['classic j-rock', 'fourth world', 'japanese city pop', 'japanese folk', 'japanese psychedelic', 'japanese singer-songwriter', 'japanese soundtrack', 'proto-techno', 'shibuya-kei']"
1408,"Sonata No. 16 in C Major, K. 545: II. Andante",Wolfgang Amadeus Mozart,2018,"['classical', 'classical era']"
1409,Killmongers Dream,Ludwig Goransson,2018,"['nordic soundtrack', 'scorecore', 'soundtrack']"
1410,Wind Beneath My Wings - Live,Idina Menzel,2018,"['hollywood', 'show tunes']"
1411,Suzie Q,Creedence Clearwater Revival,1968,"['album rock', 'classic rock', 'country rock', 'rock', 'roots rock', 'southern rock', 'swamp rock']"
1412,Fern Gully,A-Trak,2017,"['canadian electronic', 'edm', 'electro house', 'electronic trap', 'turntablism']"
1413,Do Not Disturb,Drake,2017,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
1414,You Know.,Evan and Eris,2018,"['christian hip hop', 'christian pop', 'christian trap']"
1415,Midnight Madness,The Hit Crew Kids,2010,['childrens music']
1416,Forever Young - Fast Version,Bob Dylan,1974,"['classic rock', 'country rock', 'folk', 'folk rock', 'rock', 'roots rock', 'singer-songwriter']"
1417,Preachers & Pimps,Darryl Lenox,2012,"['deep comedy', 'new comedy']"
1418,Some Kind Of Wonderful - Remastered 1999,Grand Funk Railroad,1999,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'symphonic rock']"
1419,La poupée de sucre,Chantal Goya,2008,"['french movie tunes', 'ye ye']"
1420,Títere,Wisin & Yandel,2005,"['electro latino', 'latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']"
1421,The Blues Man,Alan Jackson,2003,"['contemporary country', 'country', 'country road']"
1422,Old Dog,Broods,2019,"['art pop', 'auckland indie', 'australian pop', 'electropop', 'etherpop', 'indie electropop', 'indie poptimism', 'indietronica', 'metropopolis', 'nz pop', 'pop', 'shimmer pop', 'tropical house', 'vapor soul']"
1423,Back to the Future (Part II),DAngelo,2014,"['alternative r&b', 'funk', 'hip hop', 'indie soul', 'neo soul', 'soul']"
1424,Heartbreaker (French Version),Metronomy,2019,"['alternative dance', 'dance-punk', 'electronica', 'electropop', 'french indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'socal pop punk']"
1425,Here Comes The Sun,Voodoo Glow Skulls,1993,"['chicano punk', 'modern ska punk', 'punk', 'ska', 'ska mexicano', 'ska punk', 'skate punk']"
1426,Ex,Lyanno,2017,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']"
1427,Move,Thousand Foot Krutch,2005,"['alternative metal', 'canadian ccm', 'canadian metal', 'canadian rock', 'christian alternative rock', 'christian rock', 'nu metal', 'rap metal']"
1428,Je Me Suis Fait Tout Petit,Georges Brassens,1989,"['chanson', 'french pop', 'french rock']"
1429,Marquee Moon,Television,1977,"['alternative rock', 'art punk', 'art rock', 'dance rock', 'experimental', 'indie rock', 'new wave', 'no wave', 'post-punk', 'protopunk', 'psychedelic rock', 'punk']"
1430,No Te Vulevo A Perder,Secreto El Famoso Biberon,2018,"['dembow', 'dominican pop', 'latin', 'rap dominicano', 'trap latino', 'tropical']"
1431,Who,Upchurch,2018,"['contemporary country', 'country rap', 'redneck']"
1432,Written In Reverse,Tiësto,2014,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'trance', 'tropical house']"
1433,Exilio - Exile,Thievery Corporation,2002,"['downtempo', 'electronica', 'livetronica', 'nu jazz', 'trip hop']"
1434,宝月茜 〜カガクの刑事,Capcom Sound Team,2007,"['anime score', 'japanese vgm', 'sound team', 'video game music']"
1435,Better - noclue? Remix,Khalid,2018,"['alternative r&b', 'pop']"
1436,Hola,Joey Montana,2016,"['latin', 'latin hip hop', 'latin pop', 'panamanian pop', 'pop reggaeton', 'reggaeton', 'trap latino', 'tropical']"
1437,"The 4 Seasons: Violin Concerto In E Major, Op. 8, No. 1, RV 269, La Primavera (Spring): I. Allegro",Antonio Vivaldi,1995,"['baroque', 'classical', 'early music', 'italian baroque']"
1438,The Village,Hans Zimmer,1999,"['german soundtrack', 'soundtrack']"
1439,Grind With Me,Pretty Ricky,2005,"['dance pop', 'hip hop', 'hip pop', 'miami hip hop', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
1440,Theyll Kill Us All...,Night Gaunts,2011,"['crack rock steady', 'folk punk', 'modern ska punk']"
1441,"Rusalka, Op. 114, B. 203, Act II: Rusalko, znáš mne, znáš! (Live)",Antonín Dvořák,2019,"['classical', 'czech classical', 'late romantic era']"
1442,"Falstaff, Act I Pt. 2: Udrai quanta egli sfoggia magniloquenza altera (Live)",Giuseppe Verdi,2019,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']"
1443,Need You More,for KING & COUNTRY,2018,"['anthem worship', 'ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship', 'worship']"
1444,Schoen,Estugarda,2018,"['chillhop', 'lo-fi beats']"
1445,Cry Baby,Demi Lovato,2017,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
1446,Dark Star,"Crosby, Stills & Nash",1977,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
1447,That Moon Song,Gregory Alan Isakov,2009,"['indie folk', 'new americana', 'pop folk', 'stomp and flutter', 'stomp and holler']"
1448,What U Movin (feat. Jimmy Rocket),Waka Flocka Flame,2018,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
1449,Sacred Heart,Ola Gjeilo,2016,"['21st century classical', 'choral', 'nordic contemporary classical']"
1450,Im Walkin,Fats Domino,1959,"['adult standards', 'brill building pop', 'louisiana blues', 'lounge', 'new orleans blues', 'piano blues', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']"
1451,Wrong Way - Acoustic Version,Sublime,2006,"['reggae fusion', 'ska mexicano', 'ska punk']"
1452,Billie Holiday,Warpaint,2009,"['alternative dance', 'art pop', 'chamber psych', 'chillwave', 'dance-punk', 'dream pop', 'electronica', 'indie rock', 'la indie', 'modern alternative rock', 'modern dream pop', 'modern rock', 'new rave', 'nu gaze']"
1453,Hey There Lonely Girl,Eddie Holman,1969,"['classic soul', 'motown', 'northern soul', 'philly soul']"
1454,A Town in Blue,ASIAN KUNG-FU GENERATION,2008,"['anime', 'anime score', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk', 'otacore']"
