,name,artist,release_date,genres
91,Grand Theft Autumn / Where Is Your Boy,Fall Out Boy,2003,"['emo', 'modern rock', 'pop punk']"
92,Super Freak,Rick James,1981,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'synth funk']"
93,Sigues Preguntando,Alex Rose,2018,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']"
94,For the Good Times,Al Green,1972,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']"
95,Sabor A Mi,Kenny G,2008,"['smooth jazz', 'smooth saxophone']"
96,Six Feet,Strung Out,1996,"['melodic hardcore', 'pop punk', 'punk', 'ska punk', 'skate punk']"
97,W.A.N.T.S,Global Dan,2019,"['emo rap', 'melodic rap', 'sad rap', 'underground hip hop', 'vapor trap']"
98,I Aint Blue - Remastered,Bonnie Raitt,2016,"['classic rock', 'country rock', 'electric blues', 'folk', 'folk rock', 'lilith', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
99,ファビュラス,Vickeblanka,2015,"['anime', 'anime rock', 'j-pop', 'j-poprock', 'otacore']"
100,10 Freaky Girls (with 21 Savage),Metro Boomin,2018,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
101,Man on the Moon,Zella Day,2016,"['electropop', 'gauze pop', 'indie electropop', 'indie poptimism', 'pop']"
102,End With You (feat. KING),Snavs,2017,"['bass trap', 'danish electronic', 'edm', 'electro house', 'electronic trap', 'future bass', 'traprun', 'vapor twitch']"
103,"Wagner: Der fliegende Holländer, WWV 63, Act 2: Johohoe! Traft ihr das Schiff im Meere an (Senta, Chorus) - Live",Richard Wagner,2014,"['classical', 'german opera', 'german romanticism', 'late romantic era']"
104,On the Inside,John Williams,2015,['soundtrack']
105,Vilia - Take 3,John Coltrane,2018,"['bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz saxophone']"
106,Magic Tree And I Let Myself Go,Craig Armstrong,2013,"['british soundtrack', 'compositional ambient', 'scorecore', 'soundtrack']"
107,People Say,Portugal. The Man,2009,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']"
108,Toro Mata,Johnny Pacheco,2009,"['cha-cha-cha', 'cuban rumba', 'latin', 'latin jazz', 'mambo', 'musica tradicional cubana', 'salsa', 'tropical']"
109,"The Apprentice (feat. RagnBone Man, Zebra Katz & RAY BLK)",Gorillaz,2017,"['alternative hip hop', 'art pop']"
110,BBBB Ball,Juice Music,2005,"['australian childrens music', 'nursery']"
111,Willow Weep For Me - Take 4,Louis Armstrong,2018,"['adult standards', 'dixieland', 'harlem renaissance', 'jazz trumpet', 'new orleans jazz', 'swing', 'vocal jazz']"
112,Angeline,Chase Atlantic,2017,"['modern rock', 'pop']"
113,Dont Matter,Akon,2006,['dance pop']
114,Pretty Girls,Britney Spears,2015,"['dance pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']"
115,Partes (Live),Bethel Music,2019,"['ambient worship', 'ccm', 'christian music', 'deep ccm', 'world worship', 'worship']"
